playerID,yearID,teamID,G,AB,R,H,X2B,X3B,HR,BB,HBP,SF,salary
shousbr01,2006,MIL,59,0,0,0,0,0,0,0,0,0,975000
silvaca01,2006,MIN,36,3,0,1,0,0,0,0,0,0,4325000
siscoan01,2006,KCA,65,0,0,0,0,0,0,0,0,0,405000
sizemgr01,2006,CLE,162,655,134,190,53,11,28,78,13,4,916667
slatedo01,2006,ARI,9,0,0,0,0,0,0,0,0,0,380000
sledgte01,2006,SDN,38,70,7,16,3,0,2,8,0,0,390000
smithja05,2006,COL,49,99,9,26,1,0,5,7,2,0,500000
smithma04,2006,PHI,14,0,0,0,0,0,0,0,0,0,380000
smithma04,2006,NYA,12,0,0,0,0,0,0,0,0,0,380000
smoltjo01,2006,ATL,35,64,5,8,3,0,0,4,0,0,8000000
snellch02,2006,SEA,36,96,14,24,6,1,3,13,4,1,450000
snellia01,2006,PIT,37,54,2,3,1,0,0,2,0,0,408000
snydech02,2006,ARI,61,184,19,51,9,0,6,22,1,5,400000
snydeky01,2006,KCA,1,0,0,0,0,0,0,0,0,0,535000
snydeky01,2006,BOS,16,0,0,0,0,0,0,0,0,0,535000
soriaal01,2006,WAS,159,647,119,179,41,2,46,67,9,3,10000000
soriara01,2006,SEA,53,0,0,0,0,0,0,0,0,0,1200000
sowerje01,2006,CLE,14,0,0,0,0,0,0,0,0,0,384800
speieju01,2006,TOR,58,0,0,0,0,0,0,0,0,0,3750000
spiezsc01,2006,SLN,119,276,44,75,15,4,13,37,5,2,2100000
sprinru01,2006,HOU,72,0,0,0,0,0,0,0,0,0,1750000
stairma01,2006,DET,14,41,5,10,3,0,2,3,0,0,850000
stairma01,2006,TEX,26,81,6,17,4,0,3,6,1,0,850000
stairma01,2006,KCA,77,226,31,59,14,0,8,31,2,2,850000
stantmi02,2006,SFN,26,1,0,0,0,0,0,0,0,0,2000000
stantmi02,2006,WAS,56,1,0,0,0,0,0,0,0,0,2000000
stewach01,2006,CHA,6,8,0,0,0,0,0,0,0,0,381000
stewash01,2006,MIN,44,174,21,51,5,1,2,14,1,1,1000000
stokebr01,2006,TBA,5,0,0,0,0,0,0,0,0,0,383100
streehu01,2006,OAK,69,0,0,0,0,0,0,0,0,0,380000
sturtta01,2006,NYA,18,0,0,0,0,0,0,0,0,0,750000
suppaje01,2006,SLN,32,55,4,12,1,0,0,5,1,0,6250000
suzukic01,2006,SEA,161,695,110,224,20,9,9,49,5,2,12500000
sweenma01,2006,SFN,114,259,32,65,15,2,5,28,3,1,900000
sweenmi01,2006,KCA,60,217,23,56,15,0,8,28,4,3,11000000
swishni01,2006,OAK,157,556,106,141,24,2,35,97,11,6,400000
switzjo01,2006,TBA,40,0,0,0,0,0,0,0,0,0,391100
tagucso01,2006,SLN,134,316,46,84,19,1,2,32,2,2,925000
tanketa01,2006,FLO,49,2,0,0,0,0,0,0,0,0,380000
taschja01,2006,SFN,24,0,0,0,0,0,0,0,0,0,382000
